# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/selectTrip?originCode=FORTALEZA%20-%20CE&destinationCode=JUAZEIRO%20DO%20NORTE%20-%20CE&departureDate=2025-04-28,47,2,23.5,431,95,14,0
(not set),/selectTrip?originCode=SOBRAL%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-05-06,46,1,46,1453,79,18,0
(not set),/selectTrip?originCode=48569&origin=CRATO%20-%20CE&destinationCode=39222&destination=VARZEA%20ALEGRE%20-%20CE&departureDate=2026-04-28,44,1,44,848,102,21,0
(not set),/selectTrip?originCode=48679&origin=SOBRAL%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-04-26,44,2,22,617.5,97,13,0
(not set),/selectTrip?originCode=48701&origin=AMONTADA%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-02-06,42,1,42,405,94,6,0
(not set),/selectTrip?originCode=48704&origin=ITAPIPOCA%20-%20CE&destinationCode=48700&destination=UMIRIM%20-%20CE&departureDate=2025-10-29,42,1,42,722,84,7,0
(not set),/selectTrip?originCode=48743&origin=PATOS%20-%20PB&destinationCode=50816&destination=JOAO%20PESSOA%20-%20PB&departureDate=2025-11-30,42,1,42,652,58,4,0
(not set),/selectTrip?originCode=IGUATU%20-%20CE&destinationCode=FORTALEZA%20-%20CE&departureDate=2025-05-22,42,1,42,1532,83,15,0
Parceiros - Viva Fidelidade,/parceiros/,42,29,1.4482758620689655,54.41379310344828,149,0,0
(not set),/selectTrip?originCode=45534&origin=VOLTA%20REDONDA%20-%20RJ&destinationCode=45686&destination=VALENCA%20-%20RJ&departureDate=2026-01-18,41,1,41,1275,88,12,0
(not set),/selectTrip?originCode=48576&origin=JUAZEIRO%20DO%20NORTE%20-%20CE&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-05-11,41,2,20.5,548,86,13,0
(not set),/selectTrip?originCode=CAMPO%20MAIOR%20-%20PI&destinationCode=PARNAIBA%20-%20PI&departureDate=2025-05-30,41,1,41,1076,82,7,0
(not set),/selectTrip?originCode=ITAPIPOCA%20-%20CE&destinationCode=MARCO%20-%20CE&departureDate=2025-04-28,41,1,41,789,88,8,0
