# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Grupo principal de canais da sessão (Agrupamento de canais padrão),Origem / mídia da sessão,Sessões,Novos usuários,Usuários recorrentes,Taxa de engajamento,Tempo médio de engajamento por sessão,Receita total,Contagem de eventos,Eventos principais
Unassigned,bonifiq / (not set),7,7,0,0.2857142857142857,24.142857142857142,0,27,1
Organic Search,g1.globo.com / referral,6,0,1,0.6666666666666666,18.166666666666668,0,33,1
Referral,copilot.microsoft.com / referral,6,3,2,0.8333333333333334,150,0,54,4
Referral,gemini.google.com / referral,6,4,2,0.6666666666666666,66.5,0,41,3
Referral,login.microsoftonline.com / referral,6,0,2,0.8333333333333334,131.83333333333334,0,68,9
Referral,mail.uol.com.br / referral,6,0,4,1,271.5,0,66,5
Referral,tagassistant.google.com / referral,6,0,2,0.6666666666666666,168.33333333333334,0,152,17
Unassigned,emkt / (not set),6,6,0,0.6666666666666666,8.833333333333334,0,31,0
Unassigned,google&utm_medium=cpc&utm_campaign=Viva-Search-Marca&gad_source=1&gad_campaignid=23002668164&gbraid=0AAAAACUkzpuG50OavvfJrdnN2rMRevFdb&gclid=CjwKCAjwxfjGBhAUEiwAKWPwDv7Jozk0Xj_6mfh1F_muNRGQTXhU9V4XvauV12llZwsQvizpWh9HbRoC9rUQAvD_BwE / (not set),6,1,1,1,304,0,149,27
Organic Search,yandex / organic,5,2,2,0.6,229.8,0,59,6
Referral,encurtador.dev / referral,5,0,1,0.8,90.8,0,51,4
Unassigned,(not set) / emailIMG,5,0,1,0.6,25.2,0,47,3
Unassigned,fbyffabedf / (not set),5,6,0,1,11.6,0,39,0
Unassigned,pos checkout / banner-incentivo,5,2,1,0.2,0.6,0,15,0
Unassigned,viaje-guanabara / (not set),5,5,0,0,0,0,15,0
Referral,114.114.114.114:9421 / referral,4,2,1,0.75,82.5,0,61,2
Referral,captive.uallsolutions.com / referral,4,1,2,0.75,104.25,0,35,2
Referral,sobralonline.com.br / referral,4,4,0,0.5,48.5,0,41,3
Referral,xfinder.pro / referral,4,3,1,0.75,9,0,21,1
Unassigned,offline / (not set),4,4,0,0,0,0,12,0
Unassigned,viva_util / face,4,4,0,0.25,1.5,0,13,0
Unassigned,vivafidelidade / (not set),4,4,0,0.25,14.25,0,23,0
Organic Social,facebook / (not set),3,2,1,1,120,0,42,3
Referral,app.getbee.io / referral,3,0,1,1,15,0,21,0
Referral,bbttransportes.com.br / referral,3,2,0,0.6666666666666666,155.66666666666666,0,33,4
Referral,brunoraphaelas.kommo.com / referral,3,0,1,0,0.3333333333333333,0,7,0
Referral,diariovaleceara.com.br / referral,3,3,0,0.3333333333333333,10.666666666666666,0,16,1
Referral,intelligence.clevercorporate.com / referral,3,2,1,0,0,0,8,0
Referral,manoticias.com.br / referral,3,2,1,0.6666666666666666,128,0,38,7
Referral,proxy.logout / referral,3,0,1,1,127.66666666666667,0,26,3
Referral,yellow-search.org / referral,3,1,1,1,503.6666666666667,0,84,9
Unassigned,bonifiq&utm_medium=email&utm_campaign=lembrete_email_viva_resgate_de_pontos&utm_medium=email&utm_campaign=PointsToUse / (not set),3,1,1,1,152.66666666666666,0,42,5
Unassigned,cbbf-ivaebf / (not set),3,3,0,0.6666666666666666,19,0,21,0
Unassigned,viajeguanabara&utm_medium=lpviva&utm_campaign=mesdoclienteviva / (not set),3,1,1,1,66.33333333333333,0,20,0
Unassigned,viva_sampaio / face,3,3,0,0.6666666666666666,34,0,20,2
Organic Social,threads / social,2,2,0,0.5,28.5,0,8,0
Referral,capuchino.com.br / referral,2,1,1,0,0,0,5,0
Referral,expressoguanabara.com.br / referral,2,1,1,1,147,0,25,4
Referral,find-my-browser.com / referral,2,2,0,0.5,19.5,0,7,0
Referral,gipsyy.atlassian.net / referral,2,1,1,1,29.5,0,24,0
Referral,investece.com.br / referral,2,1,1,1,232,0,21,3
Referral,jpturismo.com.br / referral,2,2,0,0.5,6.5,0,8,0
Referral,keep.google.com / referral,2,1,1,0.5,108.5,0,14,1
Referral,lpviva.wpengine.com / referral,2,1,1,1,68.5,0,18,2
Referral,meta.com / referral,2,2,0,1,13.5,0,14,0
Referral,nextgeeker.com / referral,2,0,1,0.5,68,0,11,1
Referral,perplexity.ai / referral,2,1,0,0.5,25.5,0,8,1
Referral,search.avastbrowser.com / referral,2,2,0,1,467.5,0,30,3
Referral,tapnav.com / referral,2,2,0,1,32.5,0,8,0
Referral,webmailpro.uol.com.br / referral,2,0,2,1,949.5,0,65,4
Unassigned,(not set) / email&utm_source=brevo&utm_campaign=30092025_Cadastro_status3_200pontosmais,2,0,1,1,180.5,0,25,2
Unassigned,BPE / (not set),2,1,1,1,19,0,7,0
Unassigned,EvbZhyufeff4 / fzbvyV,2,2,0,0,0,0,7,0
Unassigned,go0gle / (not set),2,2,0,0,0,0,6,0
Unassigned,ivbwf-thbabcbeb / ufbefe,2,2,0,0,0,0,7,0
Unassigned,sac / (not set),2,2,0,0.5,0,0,13,0
Unassigned,salesforce / (not set),2,4,0,1,0,0,21,0
Unassigned,viaje-guanabara&utm_medium=header&utm_campaign=web / (not set),2,1,1,0.5,60,0,16,1
Organic Search,bonifiq / organic,1,1,0,0,0,0,3,0
Organic Search,yandex.ru / referral,1,1,0,0,0,0,3,0
Organic Social,whatsapp / (not set),1,1,0,0,0,0,3,0
Organic Social,whatsapp / voyon-,1,1,0,1,9,0,5,0
Organic Video,m.youtube.com / referral,1,1,0,0,0,0,3,0
Referral,a10mais-com.cdn.ampproject.org / referral,1,1,0,1,18,0,5,0
Referral,apparent-app-685642.framer.app / referral,1,0,1,0,0,0,3,0
Referral,blog.grancursosonline.com.br / referral,1,0,0,0,0,0,2,0
Referral,crazyeggeditor.com / referral,1,1,0,1,1,0,9,0
Referral,crm.zoho.com / referral,1,1,0,1,37,0,9,2
Referral,cse.google.com / referral,1,1,0,1,105,0,21,1
Referral,cwp.gwnportal.cloud:8080 / referral,1,0,1,1,0,0,3,0
Referral,dashboard.lusha.com / referral,1,1,0,0,5,0,4,0
Referral,editorialbrasil.com.br / referral,1,1,0,1,180,0,17,2
Referral,expresso-guanabara.com / referral,1,1,0,1,225,0,13,2
Referral,fofa.info / referral,1,1,0,0,0,0,3,0
Referral,gadgetech.info / referral,1,1,0,1,163,0,14,2
Referral,incogna.com / referral,1,1,0,1,26,0,5,0
Referral,localhost:4210 / referral,1,0,1,1,4,0,3,0
Referral,me-qr.com / referral,1,1,0,0,0,0,3,0
Referral,merobase.com / referral,1,1,0,1,49,0,9,0
Referral,opovo.com.br / referral,1,0,1,1,32,0,5,0
Referral,osfcrm.lightning.force.com / referral,1,1,0,1,2,0,4,0
Referral,pharmaphusion.com.br / referral,1,1,0,0,1,0,5,0
Referral,portal.uallsolutions.com / referral,1,1,0,1,1,0,6,0
Referral,portalimaranhao.com.br / referral,1,1,0,1,97,0,11,3
Referral,pt.semrush.com / referral,1,1,0,0,5,0,4,0
Referral,radiofocushits.com.br / referral,1,1,0,1,10,0,4,0
Referral,results.excite.com / referral,1,1,0,1,155,0,8,1
Referral,seekly.zone / referral,1,1,0,1,501,0,4,0
Referral,shewtonserra.com.br / referral,1,1,0,1,94,0,8,1
Referral,suporte.viajeguanabara.com.br / referral,1,0,1,1,3,0,5,1
Referral,vivafidelidade.com.br / referral,1,1,0,1,180,0,44,0
Unassigned,Copycat Ads / chrome_extension,1,1,0,1,11,0,4,0
Unassigned,adesivo-interno / (not set),1,1,0,0,0,0,3,0
Unassigned,chatgpt.com / (none),1,0,0,1,102,0,4,1
Unassigned,google&utm_medium=cpc&utm_campaign=Viva-Search-Marca&gad_source=1&gad_campaignid=23002668164&gbraid=0AAAAACUkzpu0HRj2AUwQoWuXa8msS7aH4&gclid=Cj0KCQjw58PGBhCkARIsADbDilzW-EkU68qwiVtBEEGbbvUVi0uPwHGktQOpHUhT8xCFJC24zQfPaZMaAjAGEALw_wcB / (not set),1,0,1,1,309,0,27,6
Unassigned,google&utm_medium=cpc&utm_campaign=Viva-Search-Marca&gad_source=1&gad_campaignid=23002668164&gbraid=0AAAAACUkzpuKi5NIGY_CzT8btWg4vkMnk&gclid=CjwKCAjwobnGBhBNEiwAu2mpFIR-urjsWp0iDdBbvAbMQ-J2GjwqmNb69CoU625OTLXgFS9axJHsnRoCIxAQAvD_BwE / (not set),1,1,0,1,293,0,18,1
Unassigned,homeviva / banner_home,1,1,0,1,1798,0,40,4
Unassigned,insider / (not set),1,1,0,0,0,0,3,0
Unassigned,viva_rapido / story,1,1,0,1,6,0,4,0
Unassigned,viva_real / Insta,1,1,0,1,7,0,4,0
Unassigned,viva_real / story,1,1,0,0,0,0,3,0
Unassigned,viva_varginhaonline / Instagram,1,1,0,1,3,0,4,0
